"observation_id","location_name","longitude","latitude","min","max","genus_name","species_name","trait_name","trait_class","value","standard_unit","value_type","methodology_name","reference_no"
1718,"Poland","20.20","50.86",157.3,163.5,"Adelocoenia","novemseptata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1702,"Spain","1.53","42.55",145,152.1,"Adelocoenia","parvistella","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1717,"France","5.77","47.37",157.3,163.5,"Adelocoenia","pistillum","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1704,"Portugal","9","38.92",145,163.5,"Adelocoenia","pustulosa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
2366,"Switzerland","9","47",139.8,145,"Adelocoenia","radisensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",63
1705,"France","1.43","46.22",145,163.5,"Adelocoenia","radisensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1715,"France","6.15","47.75",157.3,163.5,"Adelocoenia","splendens","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1716,"Spain","1.53","40.33",152.1,157.3,"Adelocoenia","tabulata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1700,"Switzerland","7.20","46.52",166.1,168.3,"Adelocoenia","tenuistriata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1710,"India","71.19","22.25",166.1,168.3,"Adelocoenia","variseptata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
1708,"India","71.19","22.25",166.1,168.3,"Adelocoenia","wegeneri","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",43
298,"Global","NULL","NULL",66,145,"Agathelia","asperella","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
199,"Global","NULL","NULL",33.9,66,"Agathiphyllia","bosniaca","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
2637,"Greece","22.468835","38.586501",100.5,113,"Agrostlyliastraea","irregularis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",75
1566,"Saudi Arabia","46.07","24.81",157.3,163.5,"Allocoenia","trochiformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",37
808,"Romania","28.99","46.88",152.1,168.3,"Allocoenia","trochiformis","Coloniality","Morphological","colonial","text","expert_opinion","observation_laboratory",13
1478,"Mexico","112.1833","32.2",0,999,"Allocoeniopsis","bernensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",28
2288,"Switzerland","9","47",139.8,145,"Allocoeniopsis","luciensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",63
1224,"Austria","13.87","47.46",201.3,208.5,"Alpinophyllia","flexuosa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
1225,"Austria","13.87","47.46",201.3,208.5,"Alpinophyllia","flexuosa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
1227,"Austria","13.87","47.46",201.3,208.5,"Alpinoseris","dendroidea","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
738,"Antarctica","-56.617"," -64.233",66,72.1,"Alveolocyathus","felixi","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",4
1019,"United States","-117.99","38.36",208.5,235,"Ampakabastraea","cowichanensis","Coloniality","Morphological","colonial","text","expert_opinion","observation_field",12
1018,"United States","-117.99","38.36",208.5,235,"Ampakabastraea","cowichanensis","Coloniality","Morphological","colonial","text","expert_opinion","observation_laboratory",12
773,"United States","-117.99","38.36",208.5,235,"Ampakabastraea","cowichanensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",12
1017,"United States","-117.99","38.36",208.5,235,"Ampakabastraea","cowichanensis","Coloniality","Morphological","colonial","text","expert_opinion","observation_field",12
2036,"India","69.49","23.32",157.3,166.1,"Ampakabastraea","exserta","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",48
2101,"Italy","13.8","41.8",145,152.1,"Amphiastraea","basaltiformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",54
2080,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2092,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2085,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2081,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2079,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2086,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2078,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2077,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2091,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2083,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2074,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2084,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2087,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2088,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2021,"India","69.49","23.32",163.5,170.3,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",48
2090,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2082,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2089,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2076,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2075,"Tunisia","10.4","32.9",157.3,166.1,"Amphiastraea","piriformis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",52
2368,"Switzerland","9","47",139.8,145,"Amphiaulastrea","","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",63
2177,"Bulgaria","22.75","42.84",132.9,139.8,"Amphiaulastrea","","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",55
2103,"Italy","13.8","41.8",145,157.3,"Amphiaulastrea","","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",54
2104,"Italy","13.8","41.8",145,157.3,"Amphiaulastrea","","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",54
2592,"Greece","22.468835","38.586501",100.5,113,"Amphiaulastrea","minima","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",75
2459,"Switzerland","8.3","46.966667",120,125,"Amphiaulastrea","rarauensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",70
2458,"Switzerland","8.3","46.966667",120,125,"Amphiaulastrea","rarauensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",70
2591,"Greece","22.468835","38.586501",100.5,113,"Amphiaulastrea","suprema","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",75
2121,"India","69.49","23.32",163.5,168.3,"Anabacia","acaulis","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",48
2122,"India","69.49","23.32",163.5,168.3,"Anabacia","acaulis","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",48
743,"Spain","-3.70256","40.4165",66,83.6,"Anisoria","vidali","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
1346,"Austria","13.87","47.46",201.3,208.5,"Anthostylis","acanthophora","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
1347,"Austria","13.87","47.46",201.3,208.5,"Anthostylis","acanthophora","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
1345,"Austria","13.87","47.46",201.3,208.5,"Anthostylis","acanthophora","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
815,"Global","NULL","NULL",5.3,72.1,"Antiguastrea","cellulosa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
2571,"Mexico","-112.941272","26.672227",47.8,56,"Antillia","batequensis","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",72
1623,"Poland","21","51.2",145,164.5,"Aplosmilia","","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",41
1309,"Slovenia","13.9632","45.9",182.7,190.8,"Apocladophyllia","gozdensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",18
2620,"Greece","22.468835","38.586501",100.5,113,"Apocladophyllia","hackemesseri","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",75
2590,"Global","NULL","NULL",145,157.3,"Apocladophyllia","koniakensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",74
2589,"Poland","18.633211","49.748436",139.8,157.3,"Apocladophyllia","nowaki","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",74
1334,"Afghanistan","62.911004","34.279263",190.8,201.3,"Archaeosmilia","duncani","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",19
1336,"Afghanistan","62.911004","34.279263",190.8,201.3,"Archaeosmilia","duncani","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",19
1335,"Afghanistan","62.911004","34.279263",190.8,201.3,"Archaeosmilia","duncani","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",19
1297,"Slovenia","14.471798","45.928371",190.8,201.3,"Archaeosmiliopsis","densus","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",17
2454,"United States","-145.27","62.53",33.9,56,"Petrophyllia","vernonensis","Coloniality","Morphological","colonial","text","expert_opinion","observation_field",68
1020,"United States","-117.99","38.36",208.5,230,"Areaseris","nevadaensis","Coloniality","Morphological","colonial","text","expert_opinion","observation_laboratory",12
778,"United States","-117.99","38.36",208.5,230,"Areaseris","nevadaensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",12
723,"Netherlands","5.2913° E","52.1326 N",66,72.1,"Areopsammia","alacca","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",4
748,"Netherlands","4.895168","52.370216",66,72.1,"Aspidastraea","clathrata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
264,"Global","NULL","NULL",56,93.9,"Aspidastraea","orientalis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
263,"Global","NULL","NULL",66,113,"Aspidastraea","semhae","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
2635,"Greece","21.74","40.32",93.9,100.5,"Aspidiscus","cristatus","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",82
2597,"Zimbabwe","35.08","30.6",93.9,100.5,"Aspidiscus","cristatus","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",77
735,"Belgium","4.4699° E","50.5039° N",61.6,66,"Asterosmilia","alloiteaui","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",4
2636,"Greece","21.74","40.32",93.9,100.5,"Astraeofungia","barcenai","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",82
2313,"Switzerland","9","47",139.8,145,"Astraeofungia","decipiens","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",63
1237,"Austria","13.87","47.46",201.3,208.5,"Astraeomorpha","confusa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
781,"United States","-117.99","38.36",208.5,230,"Astraeomorpha","confusa","Coloniality","Morphological","colonial","text","expert_opinion","observation_field",12
1459,"Austria","14.2215","47.3415",201.3,214,"Astraeomorpha","confusa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",25
1236,"Austria","13.87","47.46",201.3,208.5,"Astraeomorpha","confusa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
1565,"Slovakia","19.94","49.19",201.3,208.5,"Astraeomorpha","confusa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",30
2927,"Iran","52.027778","33.069444",201.3,208.5,"Astraeomorpha","confusa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",95
1238,"Austria","13.87","47.46",201.3,208.5,"Astraeomorpha","confusa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
1586,"Iran","58","34",201.3,228,"Astraeomorpha","confusa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",38
1460,"Austria","14.2215","47.3415",201.3,214,"Astraeomorpha","crassisepta","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",25
1450,"Poland","20.02","49.22",201.3,208.5,"Astraeomorpha","crassisepta","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",26
1234,"Austria","13.87","47.46",201.3,208.5,"Astraeomorpha","crassisepta","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
1734,"North America","-116.7728","45.10934",201.3,237,"Astraeomorpha","crassisepta","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",45
1235,"Austria","13.87","47.46",201.3,208.5,"Astraeomorpha","crassisepta","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
1232,"Austria","13.87","47.46",201.3,208.5,"Astraeomorpha","crassisepta","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
2926,"Iran","52.027778","33.069444",201.3,228,"Astraeomorpha","crassisepta","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",95
1585,"Iran","58","34",201.3,228,"Astraeomorpha","crassisepta","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",38
1233,"Austria","13.87","47.46",201.3,208.5,"Astraeomorpha","crassisepta","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",15
1587,"Iran","58","34",201.3,228,"Astraeomorpha","minor","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",38
899,"Global","NULL","NULL",61.6,100.5,"Astrangia","cretacea","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
900,"North America","NULL","NULL",33.9,66,"Astrangia","expansa","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
182,"Global","NULL","NULL",66,93.9,"Astraraea","media","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
183,"Global","NULL","NULL",66,100.5,"Astraraea","multiradiata","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",4
2007,"Austria","13.48","47.58",56,100.5,"Astraraeatrochus","bachi","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",50
2006,"Austria","13.48","47.58",56,100.5,"Astraraeatrochus","bachi","Coloniality","Morphological","solitary","text","expert_opinion","Observation_field_or_laboratory",50
2144,"Italy","13.8","41.8",145,157.3,"Astreoidogyra","giadae","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",54
760,"Europe","NULL","NULL",23,66,"Astreopora","auvertiaca","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
793,"Global","NULL","NULL",38,72.1,"Astreopora","esperanzae","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
792,"Global","NULL","NULL",33.9,100.5,"Astreopora","hexaphylla","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
2492,"Venezuela","-63.919722","10.250556",100.5,145,"Astrocoenia","barranquinensis","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",71
663,"Global","NULL","NULL",56,66,"Astrocoenia","blanfordi","Coloniality","Morphological","colonial","text","expert_opinion","Observation_field_or_laboratory",11
